2025-08-31 20:46:25,346 INFO  [org.jboss.as.server] (Thread-3) WFLYSRV0272: Suspending server
2025-08-31 20:46:25,487 INFO  [org.jboss.as.ejb3] (Thread-3) WFLYEJB0493: Jakarta Enterprise Beans subsystem suspension complete
2025-08-31 20:46:25,533 INFO  [org.jboss.as.server] (Thread-3) WFLYSRV0220: Server shutdown has been requested via an OS signal
2025-08-31 20:46:25,778 INFO  [org.wildfly.extension.undertow] (ServerService Thread Pool -- 79) WFLYUT0022: Unregistered web context: '/jakarta-servlet-example' from server 'default-server'
2025-08-31 20:46:25,907 INFO  [org.jboss.as.mail.extension] (MSC service thread 1-6) WFLYMAIL0002: Unbound mail session [java:jboss/mail/Default]
2025-08-31 20:46:25,945 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-5) WFLYUT0019: Host default-host stopping
2025-08-31 20:46:25,958 INFO  [org.jboss.as.connector.subsystems.datasources] (MSC service thread 1-3) WFLYJCA0010: Unbound data source [java:jboss/datasources/ExampleDS]
2025-08-31 20:46:25,988 INFO  [org.jboss.as.connector.deployers.jdbc] (MSC service thread 1-6) WFLYJCA0019: Stopped Driver service with driver-name = h2
2025-08-31 20:46:26,136 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-5) WFLYUT0008: Undertow HTTPS listener https suspending
2025-08-31 20:46:26,136 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-7) WFLYUT0008: Undertow HTTP listener default suspending
2025-08-31 20:46:26,139 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-5) WFLYUT0007: Undertow HTTPS listener https stopped, was bound to 127.0.0.1:8443
2025-08-31 20:46:26,139 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-7) WFLYUT0007: Undertow HTTP listener default stopped, was bound to 127.0.0.1:8080
2025-08-31 20:46:26,145 INFO  [org.wildfly.extension.undertow] (MSC service thread 1-8) WFLYUT0004: Undertow 2.3.18.Final stopping
2025-08-31 20:46:26,164 INFO  [org.jboss.as.server.deployment] (MSC service thread 1-1) WFLYSRV0028: Stopped deployment jakarta-servlet-example.war (runtime-name: jakarta-servlet-example.war) in 520ms
2025-08-31 20:46:26,202 INFO  [org.jboss.as] (MSC service thread 1-8) WFLYSRV0050: WildFly 35.0.1.Final (WildFly Core 27.0.1.Final) stopped in 552ms
