2025-04-02 12:00:13,413 INFO  [org.jboss.modules] (main) JBoss Modules version 1.7.0.Final
2025-04-02 12:00:14,682 FATAL [org.jboss.as.server] (main) WFLYSRV0239: Aborting with exit code 1
2025-04-02 12:00:33,294 INFO  [stdout] (AD Agent init) Started AppDynamics Java Agent Successfully.
2025-04-02 12:01:02,049 INFO  [stdout] (Thread-1) Shutting down AppDynamics Agent
2025-04-02 12:02:03,962 INFO  [org.jboss.modules] (main) JBoss Modules version 1.7.0.Final
2025-04-02 12:02:06,395 INFO  [stdout] (AD Agent init) Agent runtime conf directory set to /Users/nupawar/eclipse-workspace/httpsessionlogin/wildfly-12.0.0.Final/AppServerAgent-1.8-22.10.0.34344/ver22.10.0.34344/conf
2025-04-02 12:02:06,441 INFO  [stdout] (AD Agent init) Agent logging directory set to [/Users/nupawar/eclipse-workspace/httpsessionlogin/wildfly-12.0.0.Final/AppServerAgent-1.8-22.10.0.34344/ver22.10.0.34344/logs]
2025-04-02 12:02:06,500 INFO  [stdout] (AD Agent init) 
2025-04-02 12:02:06,500 INFO  [stdout] (AD Agent init) Could not start Java Agent, disabling the agent with exception javax.xml.parsers.FactoryConfigurationError: Provider __redirected.__DocumentBuilderFactory not found, Please check log files
2025-04-02 12:02:06,501 INFO  [stdout] (AD Agent init) 
2025-04-02 12:02:06,501 INFO  [stdout] (AD Agent init) javax.xml.parsers.FactoryConfigurationError: Provider __redirected.__DocumentBuilderFactory not found
2025-04-02 12:02:06,501 INFO  [stdout] (AD Agent init) 	at javax.xml.parsers.DocumentBuilderFactory.newInstance(Unknown Source)
2025-04-02 12:02:06,502 INFO  [stdout] (AD Agent init) 	at org.apache.logging.log4j.core.config.xml.XmlConfiguration.newDocumentBuilder(XmlConfiguration.java:183)
2025-04-02 12:02:06,503 INFO  [stdout] (AD Agent init) 	at org.apache.logging.log4j.core.config.xml.XmlConfiguration.<init>(XmlConfiguration.java:89)
2025-04-02 12:02:06,503 INFO  [stdout] (AD Agent init) 	at com.singularity.ee.agent.util.log4j.ADConfigurationFactory.getConfiguration(ADConfigurationFactory.java:85)
2025-04-02 12:02:06,503 INFO  [stdout] (AD Agent init) 	at org.apache.logging.log4j.core.LoggerContext.reconfigure(LoggerContext.java:695)
2025-04-02 12:02:06,504 INFO  [stdout] (AD Agent init) 	at org.apache.logging.log4j.core.LoggerContext.reconfigure(LoggerContext.java:716)
2025-04-02 12:02:06,505 INFO  [stdout] (AD Agent init) 	at com.singularity.ee.agent.appagent.kernel.Log4J2SetupHelper.setup(Log4J2SetupHelper.java:77)
2025-04-02 12:02:06,505 INFO  [stdout] (AD Agent init) 	at com.singularity.ee.agent.appagent.kernel.JavaAgent.setupLoggingLog4j2(JavaAgent.java:1017)
2025-04-02 12:02:06,506 INFO  [stdout] (AD Agent init) 	at com.singularity.ee.agent.appagent.kernel.JavaAgent.setupLogging(JavaAgent.java:977)
2025-04-02 12:02:06,506 INFO  [stdout] (AD Agent init) 	at com.singularity.ee.agent.appagent.kernel.JavaAgent.initialize(JavaAgent.java:466)
2025-04-02 12:02:06,506 INFO  [stdout] (AD Agent init) 	at com.singularity.ee.agent.appagent.kernel.JavaAgent.initialize(JavaAgent.java:355)
2025-04-02 12:02:06,506 INFO  [stdout] (AD Agent init) 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
2025-04-02 12:02:06,507 INFO  [stdout] (AD Agent init) 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
2025-04-02 12:02:06,507 INFO  [stdout] (AD Agent init) 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
2025-04-02 12:02:06,507 INFO  [stdout] (AD Agent init) 	at java.lang.reflect.Method.invoke(Method.java:498)
2025-04-02 12:02:06,507 INFO  [stdout] (AD Agent init) 	at com.singularity.ee.agent.appagent.AgentEntryPoint$1.run(AgentEntryPoint.java:658)
2025-04-02 12:02:06,803 INFO  [org.jboss.msc] (main) JBoss MSC version 1.3.2.Final
2025-04-02 12:02:06,819 INFO  [org.jboss.threads] (main) JBoss Threads version 2.3.1.Final
2025-04-02 12:02:07,261 INFO  [org.jboss.as] (MSC service thread 1-1) WFLYSRV0049: WildFly Full 12.0.0.Final (WildFly Core 4.0.0.Final) starting
2025-04-02 12:02:07,267 DEBUG [org.jboss.as.config] (MSC service thread 1-1) Configured system properties:
	[Server:server-two] = 
	[pcid:597524740] = 
	appagent.start.timeout = 1
	appdynamics.agent.accountAccessKey = bm9xa03c6d2p
	appdynamics.agent.accountName = controllerces
	appdynamics.agent.applicationName = PROD-DEVPLUS
	appdynamics.agent.nodeName = Node2
	appdynamics.agent.reuse.nodeName = false
	appdynamics.agent.reuse.nodeName.prefix = Node2
	appdynamics.agent.tierName = DEVPLUS
	appdynamics.controller.hostName = controllerces.saas.appdynamics.com
	appdynamics.controller.port = 443
	appdynamics.controller.ssl.enabled = false
	appdynamics.docker.enabled = true
	appdynamics.jvm.shutdown.mark.node.as.historical = true
	appdynamics.log4j2.disable.jmx = true
	appdynamics.sim.enabled = true
	awt.toolkit = sun.lwawt.macosx.LWCToolkit
	file.encoding = UTF-8
	file.encoding.pkg = sun.io
	file.separator = /
	gopherProxySet = false
	java.awt.graphicsenv = sun.awt.CGraphicsEnvironment
	java.awt.headless = true
	java.awt.printerjob = sun.lwawt.macosx.CPrinterJob
	java.class.path = /Users/nupawar/eclipse-workspace/httpsessionlogin/wildfly-12.0.0.Final/jboss-modules.jar:/Users/nupawar/eclipse-workspace/httpsessionlogin/wildfly-12.0.0.Final/AppServerAgent-1.8-22.10.0.34344/javaagent.jar
	java.class.version = 52.0
	java.endorsed.dirs = /Library/Java/JavaVirtualMachines/jdk1.8.0_331.jdk/Contents/Home/jre/lib/endorsed
